respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Language Competency,SQL Competency,RDBMS Competency
1,2020-03-05 08:49:10 UTC,"Friday 10 a.m. to 12 p.m., weeks 1-6 and 8-13 of semester 1 in [SIT Lab 116] (https://web.timetable.usyd.edu.au/examVenueDetails.jsp?venueAlias=J12.116)",biology and data science,1,Written some simple Python programs,No,Java,"Heard of it, but never used it.","Microsoft Access,Oracle,Sybase"
2,2020-03-05 05:55:35 UTC,F12,Biomedical engineering,,None,No,"Matlab,R",Never heard of SQL.,Microsoft Access
3,2020-03-04 13:59:27 UTC,"Friday, 10-12 A.M., SIT lab 114","Advanced Computing, 2rd year",3,Have written complex Python programs already.,Yes,"C,C++,Java","Heard of it, but never used it.",SQLite
4,2020-03-03 23:46:26 UTC,F10D,"Bachelor of Economics, second year",6,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Matlab,R",Written some SQL queries already.,Microsoft Access
5,2020-03-03 06:47:16 UTC,Friday 2-4pm SIT 116,Bachelor of Project Management,1,Basic understanding,No,Java,Written some SQL queries already.,"Microsoft SQL Server,MySQL,SQLite"
6,2020-03-03 05:12:44 UTC,F16A,"Bachelor of Science, majors in microbiology and data science. 4th year. ",1,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",
7,2020-03-02 08:10:04 UTC,F08B,"bacheor of advanced computing, 2nd year",1,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",
8,2020-03-01 11:28:46 UTC,,"Advanced computing 

second year",1,Written some simple Python programs,No,Java,Never heard of SQL.,
9,2020-02-29 11:53:34 UTC,F08D_F14D,YEAR 3 OF BACHELOR OF ADVANCING COMPUTING,3,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",Oracle
10,2020-02-29 07:56:17 UTC,Fri AM,,3,Written some simple Python programs,Yes,"C++,C#",Can interpret some SQL statements.,
11,2020-02-29 06:28:29 UTC,F12B,"Biomedical Engineering, 2nd year",2.5,Have written complex Python programs already.,No,"Java,R,Other (answer below in comment)",Never heard of SQL.,Oracle
12,2020-02-29 04:23:05 UTC,F16A,"Bachelor of computer science and technology, 2017",2,Competent Python programmer (familiar with eg. functions and classes),No,"C,C#,Java,Javascript/ECMAScript,Matlab",Can already create tables and write complex SQL queries.,Microsoft Access
13,2020-02-28 10:24:09 UTC,F16A,"software eng and science

y2",1,Basic understanding,No,Java,Never heard of SQL.,Other (answer as comment below)
14,2020-02-28 05:21:03 UTC,"Friday 4-6, SIT Lab 115","Bsci, 2nd year",1,Basic understanding,No,,Never heard of SQL.,
15,2020-02-28 05:20:18 UTC,T10A,the second year of Computational data science and Finance,1,Written some simple Python programs,Yes,,"Heard of it, but never used it.",
16,2020-02-28 05:19:46 UTC,F16A,"Bachelors of Software Engineering (Honours), 2nd Semester. ",1,Written some simple Python programs,No,"Java,Javascript/ECMAScript",Can interpret some SQL statements.,Microsoft SQL Server
